Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-06-06,Grupo 1,Parceiro B,154,R$ 8.156,R$ 2.966,R$ 74.144
2011-06-07,Grupo 1,Parceiro B,140,R$ 7.674,R$ 2.790,R$ 69.761
2011-06-08,Grupo 1,Parceiro B,164,R$ 9.226,R$ 3.355,R$ 83.876
2011-06-09,Grupo 1,Parceiro B,126,R$ 6.477,R$ 2.355,R$ 58.880
2011-06-10,Grupo 1,Parceiro B,140,R$ 7.248,R$ 2.636,R$ 65.891
2011-06-11,Grupo 1,Parceiro B,94,R$ 6.232,R$ 2.266,R$ 56.658
2011-06-12,Grupo 1,Parceiro B,80,R$ 4.062,R$ 1.477,R$ 36.929
2011-06-13,Grupo 1,Parceiro B,162,R$ 9.302,R$ 3.382,R$ 84.561
2011-06-14,Grupo 1,Parceiro B,103,R$ 4.824,R$ 1.754,R$ 43.857
2011-06-15,Grupo 1,Parceiro B,109,R$ 6.553,R$ 2.383,R$ 59.569
2011-06-16,Grupo 1,Parceiro B,163,R$ 9.033,R$ 3.285,R$ 82.121
2011-06-17,Grupo 1,Parceiro B,106,R$ 5.776,R$ 2.100,R$ 52.510
2011-06-18,Grupo 1,Parceiro B,113,R$ 6.539,R$ 2.378,R$ 59.444
2011-06-19,Grupo 1,Parceiro B,104,R$ 6.807,R$ 2.475,R$ 61.884
2011-06-20,Grupo 1,Parceiro B,98,R$ 6.101,R$ 2.218,R$ 55.459
2011-06-21,Grupo 1,Parceiro B,141,R$ 8.184,R$ 2.976,R$ 74.404
2011-06-22,Grupo 1,Parceiro B,120,R$ 7.251,R$ 2.637,R$ 65.918
2011-06-23,Grupo 1,Parceiro B,115,R$ 6.406,R$ 2.330,R$ 58.240
2011-06-24,Grupo 1,Parceiro B,133,R$ 8.989,R$ 3.269,R$ 81.714
2011-06-25,Grupo 1,Parceiro B,108,R$ 5.593,R$ 2.034,R$ 50.845
2011-06-26,Grupo 1,Parceiro B,84,R$ 4.187,R$ 1.523,R$ 38.065
2011-06-27,Grupo 1,Parceiro B,156,R$ 10.246,R$ 3.726,R$ 93.143
2011-06-28,Grupo 1,Parceiro B,116,R$ 7.004,R$ 2.547,R$ 63.673
2011-06-29,Grupo 1,Parceiro B,143,R$ 7.044,R$ 2.561,R$ 64.034
2011-06-30,Grupo 1,Parceiro B,161,R$ 9.354,R$ 3.402,R$ 85.039
2011-05-01,Grupo 2,Parceiro B,66,R$ 3.821,R$ 2.084,R$ 34.737
2011-05-02,Grupo 2,Parceiro B,66,R$ 3.510,R$ 1.914,R$ 31.906
2011-05-03,Grupo 2,Parceiro B,67,R$ 4.490,R$ 2.449,R$ 40.820
2011-05-04,Grupo 2,Parceiro B,111,R$ 7.192,R$ 3.923,R$ 65.377
2011-05-05,Grupo 2,Parceiro B,88,R$ 4.144,R$ 2.260,R$ 37.668
2011-05-06,Grupo 2,Parceiro B,111,R$ 7.484,R$ 4.082,R$ 68.039
2011-05-07,Grupo 2,Parceiro B,49,R$ 2.787,R$ 1.520,R$ 25.337
2011-05-08,Grupo 2,Parceiro B,45,R$ 2.842,R$ 1.550,R$ 25.839
2011-05-09,Grupo 2,Parceiro B,101,R$ 4.918,R$ 2.683,R$ 44.713
2011-05-10,Grupo 2,Parceiro B,88,R$ 5.134,R$ 2.800,R$ 46.672
2011-05-11,Grupo 2,Parceiro B,82,R$ 5.389,R$ 2.940,R$ 48.992
2011-05-12,Grupo 2,Parceiro B,94,R$ 4.757,R$ 2.595,R$ 43.245
2011-05-13,Grupo 2,Parceiro B,95,R$ 5.934,R$ 3.237,R$ 53.943
2011-05-14,Grupo 2,Parceiro B,53,R$ 2.803,R$ 1.529,R$ 25.484
2011-05-15,Grupo 2,Parceiro B,289,R$ 17.522,R$ 9.557,R$ 159.289
2011-05-16,Grupo 2,Parceiro B,86,R$ 4.954,R$ 2.702,R$ 45.034
2011-05-17,Grupo 2,Parceiro B,72,R$ 3.665,R$ 1.999,R$ 33.317
2011-05-18,Grupo 2,Parceiro B,86,R$ 5.093,R$ 2.778,R$ 46.300
2011-05-19,Grupo 2,Parceiro B,84,R$ 4.267,R$ 2.327,R$ 38.792
2011-05-20,Grupo 2,Parceiro B,73,R$ 4.395,R$ 2.397,R$ 39.951
2011-05-21,Grupo 2,Parceiro B,54,R$ 3.590,R$ 1.958,R$ 32.634
2011-05-22,Grupo 2,Parceiro B,273,R$ 12.935,R$ 7.055,R$ 117.592
2011-05-23,Grupo 2,Parceiro B,77,R$ 4.702,R$ 2.565,R$ 42.746
2011-05-24,Grupo 2,Parceiro B,76,R$ 3.708,R$ 2.022,R$ 33.708
2011-05-25,Grupo 2,Parceiro B,114,R$ 6.706,R$ 3.658,R$ 60.965
2011-05-26,Grupo 2,Parceiro B,96,R$ 6.116,R$ 3.336,R$ 55.603
2011-05-27,Grupo 2,Parceiro B,108,R$ 5.413,R$ 2.952,R$ 49.205
2011-05-28,Grupo 2,Parceiro B,49,R$ 2.726,R$ 1.487,R$ 24.777
2011-05-29,Grupo 2,Parceiro B,55,R$ 3.105,R$ 1.693,R$ 28.223
2011-05-30,Grupo 2,Parceiro B,99,R$ 6.055,R$ 3.303,R$ 55.050
2011-05-31,Grupo 2,Parceiro B,110,R$ 5.281,R$ 2.881,R$ 48.012
2011-06-01,Grupo 2,Parceiro B,89,R$ 4.764,R$ 2.598,R$ 43.305
2011-06-02,Grupo 2,Parceiro B,115,R$ 5.917,R$ 3.227,R$ 53.788
2011-06-03,Grupo 2,Parceiro B,79,R$ 4.426,R$ 2.414,R$ 40.236
2011-06-04,Grupo 2,Parceiro B,60,R$ 3.128,R$ 1.706,R$ 28.436
2011-06-05,Grupo 2,Parceiro B,50,R$ 3.344,R$ 1.824,R$ 30.402
2011-06-06,Grupo 2,Parceiro B,86,R$ 5.630,R$ 3.071,R$ 51.184
2011-06-07,Grupo 2,Parceiro B,91,R$ 4.269,R$ 2.329,R$ 38.814
2011-06-08,Grupo 2,Parceiro B,117,R$ 7.592,R$ 4.141,R$ 69.018
2011-06-09,Grupo 2,Parceiro B,121,R$ 8.102,R$ 4.419,R$ 73.651
2011-06-10,Grupo 2,Parceiro B,110,R$ 5.452,R$ 2.974,R$ 49.565
2011-06-11,Grupo 2,Parceiro B,62,R$ 3.140,R$ 1.713,R$ 28.548
2011-06-12,Grupo 2,Parceiro B,55,R$ 2.591,R$ 1.413,R$ 23.551
2011-06-13,Grupo 2,Parceiro B,83,R$ 5.669,R$ 3.092,R$ 51.538
2011-06-14,Grupo 2,Parceiro B,78,R$ 4.969,R$ 2.710,R$ 45.169
2011-06-15,Grupo 2,Parceiro B,91,R$ 5.045,R$ 2.752,R$ 45.863
2011-06-16,Grupo 2,Parceiro B,120,R$ 8.224,R$ 4.486,R$ 74.766
2011-06-17,Grupo 2,Parceiro B,96,R$ 5.971,R$ 3.257,R$ 54.281
2011-06-18,Grupo 2,Parceiro B,51,R$ 2.680,R$ 1.462,R$ 24.363
2011-06-19,Grupo 2,Parceiro B,71,R$ 4.190,R$ 2.285,R$ 38.089
2011-06-20,Grupo 2,Parceiro B,91,R$ 5.722,R$ 3.121,R$ 52.014
2011-06-21,Grupo 2,Parceiro B,69,R$ 4.080,R$ 2.225,R$ 37.088
2011-06-22,Grupo 2,Parceiro B,93,R$ 6.070,R$ 3.311,R$ 55.183
2011-06-23,Grupo 2,Parceiro B,81,R$ 5.487,R$ 2.993,R$ 49.883
2011-06-24,Grupo 2,Parceiro B,74,R$ 3.701,R$ 2.019,R$ 33.644
2011-06-25,Grupo 2,Parceiro B,65,R$ 3.979,R$ 2.170,R$ 36.169
2011-06-26,Grupo 2,Parceiro B,50,R$ 2.425,R$ 1.323,R$ 22.047
2011-06-27,Grupo 2,Parceiro B,106,R$ 5.448,R$ 2.971,R$ 49.525
2011-06-28,Grupo 2,Parceiro B,93,R$ 5.574,R$ 3.040,R$ 50.669
2011-06-29,Grupo 2,Parceiro B,89,R$ 5.261,R$ 2.870,R$ 47.829
2011-06-30,Grupo 2,Parceiro B,99,R$ 6.647,R$ 3.626,R$ 60.431
2011-05-01,Grupo 3,Parceiro B,44,R$ 2.734,R$ 2.237,R$ 24.859
2011-05-02,Grupo 3,Parceiro B,69,R$ 3.782,R$ 3.095,R$ 34.384
2011-05-03,Grupo 3,Parceiro B,87,R$ 4.578,R$ 3.746,R$ 41.621
2011-05-04,Grupo 3,Parceiro B,76,R$ 4.785,R$ 3.915,R$ 43.501
2011-05-05,Grupo 3,Parceiro B,69,R$ 3.881,R$ 3.175,R$ 35.281
2011-05-06,Grupo 3,Parceiro B,105,R$ 7.198,R$ 5.889,R$ 65.435
2011-05-07,Grupo 3,Parceiro B,44,R$ 2.228,R$ 1.823,R$ 20.255
2011-05-08,Grupo 3,Parceiro B,46,R$ 3.087,R$ 2.526,R$ 28.065
2011-05-09,Grupo 3,Parceiro B,95,R$ 6.258,R$ 5.120,R$ 56.894
2011-05-10,Grupo 3,Parceiro B,75,R$ 3.703,R$ 3.029,R$ 33.661
2011-05-11,Grupo 3,Parceiro B,98,R$ 6.062,R$ 4.960,R$ 55.109
2011-05-12,Grupo 3,Parceiro B,93,R$ 6.356,R$ 5.201,R$ 57.785
2011-05-13,Grupo 3,Parceiro B,91,R$ 4.180,R$ 3.420,R$ 38.004
2011-05-14,Grupo 3,Parceiro B,65,R$ 3.420,R$ 2.798,R$ 31.088
2011-05-15,Grupo 3,Parceiro B,226,R$ 15.197,R$ 12.434,R$ 138.153
2011-05-16,Grupo 3,Parceiro B,65,R$ 3.146,R$ 2.574,R$ 28.601
2011-05-17,Grupo 3,Parceiro B,64,R$ 3.739,R$ 3.059,R$ 33.989
2011-05-18,Grupo 3,Parceiro B,74,R$ 4.410,R$ 3.608,R$ 40.094
2011-05-19,Grupo 3,Parceiro B,98,R$ 4.941,R$ 4.043,R$ 44.918
2011-05-20,Grupo 3,Parceiro B,90,R$ 4.662,R$ 3.814,R$ 42.382
2011-05-21,Grupo 3,Parceiro B,56,R$ 3.723,R$ 3.046,R$ 33.841
2011-05-22,Grupo 3,Parceiro B,245,R$ 11.729,R$ 9.596,R$ 106.624
2011-05-23,Grupo 3,Parceiro B,77,R$ 4.011,R$ 3.282,R$ 36.463
2011-05-24,Grupo 3,Parceiro B,60,R$ 3.804,R$ 3.113,R$ 34.584
2011-05-25,Grupo 3,Parceiro B,90,R$ 4.658,R$ 3.811,R$ 42.344
2011-05-26,Grupo 3,Parceiro B,99,R$ 5.780,R$ 4.729,R$ 52.544
2011-05-27,Grupo 3,Parceiro B,81,R$ 3.724,R$ 3.047,R$ 33.859
2011-05-28,Grupo 3,Parceiro B,44,R$ 2.902,R$ 2.375,R$ 26.386
2011-05-29,Grupo 3,Parceiro B,62,R$ 3.611,R$ 2.955,R$ 32.828
2011-05-30,Grupo 3,Parceiro B,93,R$ 5.495,R$ 4.496,R$ 49.956
2011-05-31,Grupo 3,Parceiro B,66,R$ 3.213,R$ 2.629,R$ 29.206
2011-06-01,Grupo 3,Parceiro B,76,R$ 5.041,R$ 4.124,R$ 45.827
2011-06-02,Grupo 3,Parceiro B,101,R$ 6.611,R$ 5.409,R$ 60.098
2011-06-03,Grupo 3,Parceiro B,101,R$ 5.107,R$ 4.179,R$ 46.429
2011-06-04,Grupo 3,Parceiro B,49,R$ 2.357,R$ 1.929,R$ 21.432
2011-06-05,Grupo 3,Parceiro B,59,R$ 3.893,R$ 3.185,R$ 35.394
2011-06-06,Grupo 3,Parceiro B,76,R$ 4.557,R$ 3.728,R$ 41.427
2011-06-07,Grupo 3,Parceiro B,66,R$ 4.424,R$ 3.620,R$ 40.221
2011-06-08,Grupo 3,Parceiro B,99,R$ 6.741,R$ 5.516,R$ 61.286
2011-06-09,Grupo 3,Parceiro B,102,R$ 6.725,R$ 5.502,R$ 61.132
2011-06-10,Grupo 3,Parceiro B,64,R$ 4.007,R$ 3.279,R$ 36.429
2011-06-11,Grupo 3,Parceiro B,51,R$ 3.420,R$ 2.798,R$ 31.090
2011-06-12,Grupo 3,Parceiro B,60,R$ 3.932,R$ 3.217,R$ 35.744
2011-06-13,Grupo 3,Parceiro B,93,R$ 4.823,R$ 3.946,R$ 43.849
2011-06-14,Grupo 3,Parceiro B,92,R$ 4.437,R$ 3.631,R$ 40.341
2011-06-15,Grupo 3,Parceiro B,100,R$ 6.540,R$ 5.351,R$ 59.459
2011-06-16,Grupo 3,Parceiro B,76,R$ 4.898,R$ 4.007,R$ 44.525
2011-06-17,Grupo 3,Parceiro B,82,R$ 4.325,R$ 3.539,R$ 39.317
2011-06-18,Grupo 3,Parceiro B,64,R$ 3.262,R$ 2.669,R$ 29.654
2011-06-19,Grupo 3,Parceiro B,39,R$ 1.957,R$ 1.601,R$ 17.791
2011-06-20,Grupo 3,Parceiro B,73,R$ 4.784,R$ 3.914,R$ 43.492
2011-06-21,Grupo 3,Parceiro B,99,R$ 5.162,R$ 4.224,R$ 46.932
2011-06-22,Grupo 3,Parceiro B,90,R$ 4.941,R$ 4.043,R$ 44.922
2011-06-23,Grupo 3,Parceiro B,109,R$ 6.325,R$ 5.175,R$ 57.501
2011-06-24,Grupo 3,Parceiro B,103,R$ 4.985,R$ 4.079,R$ 45.319
2011-06-25,Grupo 3,Parceiro B,69,R$ 3.439,R$ 2.814,R$ 31.267
2011-06-26,Grupo 3,Parceiro B,64,R$ 3.317,R$ 2.714,R$ 30.158
2011-06-27,Grupo 3,Parceiro B,64,R$ 3.565,R$ 2.917,R$ 32.409
2011-06-28,Grupo 3,Parceiro B,89,R$ 4.711,R$ 3.855,R$ 42.831
2011-06-29,Grupo 3,Parceiro B,89,R$ 5.114,R$ 4.184,R$ 46.491
2011-06-30,Grupo 3,Parceiro B,83,R$ 4.893,R$ 4.003,R$ 44.482
