Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-03-21,Grupo 1,Parceiro A,51,R$ 3.306,R$ 1.503,R$ 30.051
2011-03-22,Grupo 1,Parceiro A,102,R$ 6.720,R$ 3.055,R$ 61.091
2011-03-23,Grupo 1,Parceiro A,100,R$ 5.198,R$ 2.363,R$ 47.259
2011-03-24,Grupo 1,Parceiro A,110,R$ 6.931,R$ 3.151,R$ 63.013
2011-03-25,Grupo 1,Parceiro A,82,R$ 7.136,R$ 3.243,R$ 64.869
2011-03-26,Grupo 1,Parceiro A,64,R$ 3.790,R$ 1.723,R$ 34.456
2011-03-27,Grupo 1,Parceiro A,42,R$ 2.758,R$ 1.254,R$ 25.071
2011-03-28,Grupo 1,Parceiro A,42,R$ 2.261,R$ 1.028,R$ 20.552
2011-03-29,Grupo 1,Parceiro A,77,R$ 5.318,R$ 2.417,R$ 48.344
2011-03-30,Grupo 1,Parceiro A,77,R$ 6.288,R$ 2.858,R$ 57.164
2011-03-31,Grupo 1,Parceiro A,71,R$ 4.036,R$ 1.834,R$ 36.688
2011-04-01,Grupo 1,Parceiro A,116,R$ 7.705,R$ 3.514,R$ 70.043
2011-04-02,Grupo 1,Parceiro A,68,R$ 7.254,R$ 3.297,R$ 65.943
2011-01-01,Grupo 2,Parceiro A,200,R$ 12.950,R$ 6.475,R$ 117.726
2011-01-02,Grupo 2,Parceiro A,118,R$ 7.338,R$ 3.669,R$ 66.707
2011-01-03,Grupo 2,Parceiro A,127,R$ 7.750,R$ 3.875,R$ 70.457
2011-01-04,Grupo 2,Parceiro A,181,R$ 10.628,R$ 5.331,R$ 96.620
2011-01-05,Grupo 2,Parceiro A,230,R$ 14.247,R$ 7.123,R$ 129.517
2011-01-06,Grupo 2,Parceiro A,202,R$ 13.671,R$ 6.816,R$ 124.278
2011-01-07,Grupo 2,Parceiro A,211,R$ 13.997,R$ 6.998,R$ 127.242
2011-01-08,Grupo 2,Parceiro A,276,R$ 16.156,R$ 8.078,R$ 146.874
2011-01-09,Grupo 2,Parceiro A,130,R$ 7.056,R$ 3.528,R$ 64.141
2011-01-10,Grupo 2,Parceiro A,136,R$ 8.078,R$ 4.039,R$ 73.439
2011-01-11,Grupo 2,Parceiro A,275,R$ 14.616,R$ 7.292,R$ 132.871
2011-01-12,Grupo 2,Parceiro A,207,R$ 11.868,R$ 5.934,R$ 107.889
2011-01-13,Grupo 2,Parceiro A,354,R$ 25.405,R$ 12.702,R$ 230.953
2011-01-14,Grupo 2,Parceiro A,235,R$ 16.395,R$ 8.197,R$ 149.045
2011-01-15,Grupo 2,Parceiro A,138,R$ 9.778,R$ 4.889,R$ 88.895
2011-01-16,Grupo 2,Parceiro A,89,R$ 6.010,R$ 3.021,R$ 54.633
2011-01-17,Grupo 2,Parceiro A,92,R$ 8.287,R$ 4.144,R$ 75.341
2011-01-18,Grupo 2,Parceiro A,204,R$ 15.579,R$ 7.789,R$ 141.624
2011-01-19,Grupo 2,Parceiro A,205,R$ 14.421,R$ 7.219,R$ 131.103
2011-01-20,Grupo 2,Parceiro A,210,R$ 12.450,R$ 6.225,R$ 113.178
2011-01-21,Grupo 2,Parceiro A,114,R$ 7.099,R$ 3.550,R$ 64.540
2011-01-22,Grupo 2,Parceiro A,107,R$ 7.588,R$ 3.794,R$ 68.983
2011-01-23,Grupo 2,Parceiro A,66,R$ 3.837,R$ 1.919,R$ 34.882
2011-01-24,Grupo 2,Parceiro A,81,R$ 7.065,R$ 3.532,R$ 64.224
2011-01-25,Grupo 2,Parceiro A,132,R$ 8.547,R$ 4.273,R$ 77.696
2011-01-26,Grupo 2,Parceiro A,233,R$ 13.236,R$ 6.618,R$ 120.327
2011-01-27,Grupo 2,Parceiro A,123,R$ 8.956,R$ 4.478,R$ 81.418
2011-01-28,Grupo 2,Parceiro A,95,R$ 6.168,R$ 3.084,R$ 56.077
2011-01-29,Grupo 2,Parceiro A,83,R$ 5.856,R$ 2.928,R$ 53.236
2011-01-30,Grupo 2,Parceiro A,55,R$ 4.447,R$ 2.223,R$ 40.423
2011-01-31,Grupo 2,Parceiro A,59,R$ 4.168,R$ 2.084,R$ 37.887
2011-02-01,Grupo 2,Parceiro A,61,R$ 4.580,R$ 2.290,R$ 41.635
2011-02-02,Grupo 2,Parceiro A,68,R$ 5.453,R$ 2.727,R$ 49.576
2011-02-03,Grupo 2,Parceiro A,103,R$ 8.959,R$ 4.479,R$ 81.441
2011-02-04,Grupo 2,Parceiro A,115,R$ 8.113,R$ 4.080,R$ 73.753
2011-02-05,Grupo 2,Parceiro A,86,R$ 5.276,R$ 2.658,R$ 47.965
2011-02-06,Grupo 2,Parceiro A,88,R$ 5.550,R$ 2.775,R$ 50.458
2011-02-07,Grupo 2,Parceiro A,94,R$ 6.479,R$ 3.240,R$ 58.900
2011-02-08,Grupo 2,Parceiro A,97,R$ 7.105,R$ 3.552,R$ 64.590
2011-02-09,Grupo 2,Parceiro A,138,R$ 7.774,R$ 3.887,R$ 70.671
2011-02-10,Grupo 2,Parceiro A,134,R$ 9.499,R$ 4.750,R$ 86.358
2011-02-11,Grupo 2,Parceiro A,160,R$ 10.149,R$ 5.074,R$ 92.264
2011-02-12,Grupo 2,Parceiro A,142,R$ 7.553,R$ 3.776,R$ 68.662
2011-02-13,Grupo 2,Parceiro A,81,R$ 5.341,R$ 2.671,R$ 48.555
2011-02-14,Grupo 2,Parceiro A,101,R$ 5.548,R$ 2.774,R$ 50.433
2011-02-15,Grupo 2,Parceiro A,152,R$ 10.829,R$ 5.415,R$ 98.450
2011-02-16,Grupo 2,Parceiro A,155,R$ 16.532,R$ 8.266,R$ 150.288
2011-02-17,Grupo 2,Parceiro A,106,R$ 7.082,R$ 3.541,R$ 64.379
2011-02-18,Grupo 2,Parceiro A,104,R$ 8.051,R$ 3.989,R$ 73.186
2011-02-19,Grupo 2,Parceiro A,104,R$ 7.415,R$ 3.707,R$ 67.408
2011-02-20,Grupo 2,Parceiro A,99,R$ 6.836,R$ 3.418,R$ 62.150
2011-02-21,Grupo 2,Parceiro A,92,R$ 6.035,R$ 3.017,R$ 54.862
2011-02-22,Grupo 2,Parceiro A,97,R$ 7.934,R$ 3.967,R$ 72.128
2011-02-23,Grupo 2,Parceiro A,106,R$ 6.537,R$ 3.269,R$ 59.428
2011-02-24,Grupo 2,Parceiro A,65,R$ 4.227,R$ 2.113,R$ 38.425
2011-02-25,Grupo 2,Parceiro A,78,R$ 4.912,R$ 2.456,R$ 44.658
2011-02-26,Grupo 2,Parceiro A,85,R$ 4.138,R$ 2.066,R$ 37.619
2011-02-27,Grupo 2,Parceiro A,49,R$ 2.309,R$ 1.155,R$ 20.995
2011-02-28,Grupo 2,Parceiro A,86,R$ 6.988,R$ 3.494,R$ 63.527
2011-03-01,Grupo 2,Parceiro A,71,R$ 2.976,R$ 1.488,R$ 27.050
2011-03-02,Grupo 2,Parceiro A,65,R$ 3.335,R$ 1.668,R$ 30.322
2011-03-03,Grupo 2,Parceiro A,63,R$ 3.578,R$ 1.789,R$ 32.529
2011-03-04,Grupo 2,Parceiro A,59,R$ 3.162,R$ 1.581,R$ 28.750
2011-03-05,Grupo 2,Parceiro A,66,R$ 3.499,R$ 1.745,R$ 31.810
2011-03-06,Grupo 2,Parceiro A,45,R$ 4.199,R$ 2.100,R$ 38.175
2011-03-07,Grupo 2,Parceiro A,46,R$ 3.581,R$ 1.791,R$ 32.558
2011-03-08,Grupo 2,Parceiro A,69,R$ 4.288,R$ 2.144,R$ 38.978
2011-03-09,Grupo 2,Parceiro A,70,R$ 3.975,R$ 1.988,R$ 36.140
2011-03-10,Grupo 2,Parceiro A,104,R$ 5.767,R$ 2.883,R$ 52.426
2011-03-11,Grupo 2,Parceiro A,211,R$ 18.066,R$ 11.627,R$ 116.514
2011-03-12,Grupo 2,Parceiro A,247,R$ 23.893,R$ 15.415,R$ 154.149
2011-03-13,Grupo 2,Parceiro A,181,R$ 15.731,R$ 10.149,R$ 101.489
2011-03-14,Grupo 2,Parceiro A,180,R$ 16.822,R$ 10.815,R$ 108.532
2011-03-15,Grupo 2,Parceiro A,107,R$ 5.851,R$ 2.691,R$ 53.192
2011-03-16,Grupo 2,Parceiro A,105,R$ 6.427,R$ 2.930,R$ 58.431
2011-03-17,Grupo 2,Parceiro A,81,R$ 4.651,R$ 2.114,R$ 42.282
2011-03-18,Grupo 2,Parceiro A,95,R$ 6.003,R$ 2.729,R$ 54.576
2011-03-19,Grupo 2,Parceiro A,93,R$ 6.433,R$ 2.945,R$ 58.485
2011-03-20,Grupo 2,Parceiro A,65,R$ 4.831,R$ 2.196,R$ 43.917
2011-03-21,Grupo 2,Parceiro A,73,R$ 3.623,R$ 1.658,R$ 32.940
2011-03-22,Grupo 2,Parceiro A,86,R$ 5.265,R$ 2.389,R$ 47.860
2011-03-23,Grupo 2,Parceiro A,106,R$ 6.261,R$ 2.888,R$ 56.916
2011-03-24,Grupo 2,Parceiro A,96,R$ 6.212,R$ 2.823,R$ 56.468
2011-03-25,Grupo 2,Parceiro A,66,R$ 3.380,R$ 1.536,R$ 30.728
2011-03-26,Grupo 2,Parceiro A,71,R$ 4.739,R$ 2.154,R$ 43.079
2011-03-27,Grupo 2,Parceiro A,42,R$ 2.074,R$ 943,R$ 18.858
2011-03-28,Grupo 2,Parceiro A,62,R$ 3.655,R$ 1.661,R$ 33.227
2011-03-29,Grupo 2,Parceiro A,73,R$ 4.289,R$ 1.950,R$ 38.993
2011-03-30,Grupo 2,Parceiro A,78,R$ 5.670,R$ 2.577,R$ 51.547
2011-03-31,Grupo 2,Parceiro A,72,R$ 5.240,R$ 2.382,R$ 47.634
2011-04-01,Grupo 2,Parceiro A,84,R$ 5.278,R$ 2.399,R$ 47.982
2011-04-02,Grupo 2,Parceiro A,68,R$ 4.573,R$ 2.078,R$ 41.569
2011-01-01,Grupo 3,Parceiro A,248,R$ 15.511,R$ 10.717,R$ 141.012
2011-01-02,Grupo 3,Parceiro A,145,R$ 8.137,R$ 5.871,R$ 73.975
2011-01-03,Grupo 3,Parceiro A,153,R$ 11.038,R$ 8.027,R$ 100.341
2011-01-04,Grupo 3,Parceiro A,185,R$ 12.225,R$ 8.869,R$ 111.136
2011-01-05,Grupo 3,Parceiro A,219,R$ 13.204,R$ 9.576,R$ 120.033
2011-01-06,Grupo 3,Parceiro A,227,R$ 12.920,R$ 9.364,R$ 117.458
2011-01-07,Grupo 3,Parceiro A,216,R$ 13.128,R$ 9.530,R$ 119.346
2011-01-08,Grupo 3,Parceiro A,288,R$ 21.293,R$ 15.474,R$ 193.571
2011-01-09,Grupo 3,Parceiro A,134,R$ 7.920,R$ 5.729,R$ 72.000
2011-01-10,Grupo 3,Parceiro A,193,R$ 12.562,R$ 9.127,R$ 114.203
2011-01-11,Grupo 3,Parceiro A,278,R$ 17.665,R$ 12.820,R$ 160.590
2011-01-12,Grupo 3,Parceiro A,259,R$ 16.669,R$ 12.123,R$ 151.533
2011-01-13,Grupo 3,Parceiro A,353,R$ 25.131,R$ 18.219,R$ 228.467
2011-01-14,Grupo 3,Parceiro A,274,R$ 20.021,R$ 14.521,R$ 182.005
2011-01-15,Grupo 3,Parceiro A,152,R$ 9.118,R$ 6.614,R$ 82.891
2011-01-16,Grupo 3,Parceiro A,108,R$ 7.770,R$ 5.637,R$ 70.639
2011-01-17,Grupo 3,Parceiro A,109,R$ 7.220,R$ 5.251,R$ 65.637
2011-01-18,Grupo 3,Parceiro A,221,R$ 14.786,R$ 10.738,R$ 134.417
2011-01-19,Grupo 3,Parceiro A,190,R$ 13.322,R$ 9.680,R$ 121.113
2011-01-20,Grupo 3,Parceiro A,238,R$ 13.329,R$ 9.592,R$ 121.175
2011-01-21,Grupo 3,Parceiro A,147,R$ 8.536,R$ 6.168,R$ 77.599
2011-01-22,Grupo 3,Parceiro A,103,R$ 7.696,R$ 5.597,R$ 69.964
2011-01-23,Grupo 3,Parceiro A,90,R$ 7.292,R$ 5.270,R$ 66.291
2011-01-24,Grupo 3,Parceiro A,76,R$ 5.706,R$ 4.133,R$ 51.876
2011-01-25,Grupo 3,Parceiro A,141,R$ 7.360,R$ 5.322,R$ 66.912
2011-01-26,Grupo 3,Parceiro A,255,R$ 15.188,R$ 11.046,R$ 138.071
2011-01-27,Grupo 3,Parceiro A,170,R$ 11.416,R$ 8.297,R$ 103.777
2011-01-28,Grupo 3,Parceiro A,119,R$ 8.470,R$ 6.155,R$ 77.000
2011-01-29,Grupo 3,Parceiro A,80,R$ 5.620,R$ 4.087,R$ 51.091
2011-01-30,Grupo 3,Parceiro A,72,R$ 4.394,R$ 3.196,R$ 39.946
2011-01-31,Grupo 3,Parceiro A,61,R$ 3.719,R$ 2.705,R$ 33.810
2011-02-01,Grupo 3,Parceiro A,66,R$ 5.294,R$ 3.850,R$ 48.126
2011-02-02,Grupo 3,Parceiro A,81,R$ 5.847,R$ 4.202,R$ 53.158
2011-02-03,Grupo 3,Parceiro A,105,R$ 9.316,R$ 6.768,R$ 84.694
2011-02-04,Grupo 3,Parceiro A,120,R$ 11.046,R$ 8.019,R$ 100.423
2011-02-05,Grupo 3,Parceiro A,104,R$ 7.193,R$ 5.222,R$ 65.391
2011-02-06,Grupo 3,Parceiro A,83,R$ 5.632,R$ 4.084,R$ 51.203
2011-02-07,Grupo 3,Parceiro A,112,R$ 6.976,R$ 5.074,R$ 63.422
2011-02-08,Grupo 3,Parceiro A,118,R$ 7.967,R$ 5.777,R$ 72.426
2011-02-09,Grupo 3,Parceiro A,108,R$ 6.742,R$ 4.903,R$ 61.287
2011-02-10,Grupo 3,Parceiro A,160,R$ 11.458,R$ 8.333,R$ 104.162
2011-02-11,Grupo 3,Parceiro A,184,R$ 11.388,R$ 8.282,R$ 103.526
2011-02-12,Grupo 3,Parceiro A,154,R$ 8.889,R$ 6.435,R$ 80.810
2011-02-13,Grupo 3,Parceiro A,89,R$ 6.374,R$ 4.635,R$ 57.943
2011-02-14,Grupo 3,Parceiro A,111,R$ 7.886,R$ 5.667,R$ 71.688
2011-02-15,Grupo 3,Parceiro A,120,R$ 8.076,R$ 5.859,R$ 73.416
2011-02-16,Grupo 3,Parceiro A,157,R$ 11.374,R$ 8.272,R$ 103.396
2011-02-17,Grupo 3,Parceiro A,152,R$ 11.447,R$ 8.325,R$ 104.064
2011-02-18,Grupo 3,Parceiro A,101,R$ 7.228,R$ 5.237,R$ 65.467
2011-02-19,Grupo 3,Parceiro A,103,R$ 7.161,R$ 5.208,R$ 65.100
2011-02-20,Grupo 3,Parceiro A,66,R$ 4.970,R$ 3.614,R$ 45.180
2011-02-21,Grupo 3,Parceiro A,106,R$ 6.871,R$ 4.983,R$ 62.468
2011-02-22,Grupo 3,Parceiro A,96,R$ 7.725,R$ 5.618,R$ 70.230
2011-02-23,Grupo 3,Parceiro A,89,R$ 6.380,R$ 3.884,R$ 58.004
2011-02-24,Grupo 3,Parceiro A,60,R$ 3.177,R$ 1.196,R$ 28.881
2011-02-25,Grupo 3,Parceiro A,59,R$ 2.954,R$ 1.079,R$ 26.856
2011-02-26,Grupo 3,Parceiro A,59,R$ 2.611,R$ 1.008,R$ 23.737
2011-02-27,Grupo 3,Parceiro A,63,R$ 5.959,R$ 2.171,R$ 54.171
2011-02-28,Grupo 3,Parceiro A,69,R$ 3.712,R$ 1.350,R$ 33.743
2011-03-01,Grupo 3,Parceiro A,56,R$ 2.985,R$ 1.091,R$ 27.133
2011-03-02,Grupo 3,Parceiro A,73,R$ 3.192,R$ 1.178,R$ 29.014
2011-03-03,Grupo 3,Parceiro A,92,R$ 4.476,R$ 1.636,R$ 40.695
2011-03-04,Grupo 3,Parceiro A,75,R$ 3.924,R$ 1.427,R$ 35.669
2011-03-05,Grupo 3,Parceiro A,57,R$ 3.842,R$ 1.412,R$ 34.932
2011-03-06,Grupo 3,Parceiro A,41,R$ 2.195,R$ 804,R$ 19.950
2011-03-07,Grupo 3,Parceiro A,42,R$ 2.612,R$ 950,R$ 23.744
2011-03-08,Grupo 3,Parceiro A,54,R$ 3.742,R$ 1.361,R$ 34.023
2011-03-09,Grupo 3,Parceiro A,76,R$ 3.885,R$ 1.413,R$ 35.315
2011-03-10,Grupo 3,Parceiro A,91,R$ 6.067,R$ 2.222,R$ 55.155
2011-03-11,Grupo 3,Parceiro A,236,R$ 22.342,R$ 14.042,R$ 144.144
2011-03-12,Grupo 3,Parceiro A,238,R$ 19.570,R$ 12.624,R$ 126.236
2011-03-13,Grupo 3,Parceiro A,186,R$ 16.270,R$ 10.497,R$ 104.965
2011-03-14,Grupo 3,Parceiro A,175,R$ 15.580,R$ 10.052,R$ 100.518
2011-03-15,Grupo 3,Parceiro A,139,R$ 8.545,R$ 3.979,R$ 77.680
2011-03-16,Grupo 3,Parceiro A,94,R$ 6.484,R$ 2.944,R$ 58.948
2011-03-17,Grupo 3,Parceiro A,89,R$ 5.763,R$ 2.619,R$ 52.388
2011-03-18,Grupo 3,Parceiro A,106,R$ 5.946,R$ 2.729,R$ 54.055
2011-03-19,Grupo 3,Parceiro A,69,R$ 4.260,R$ 1.937,R$ 38.731
2011-03-20,Grupo 3,Parceiro A,68,R$ 3.769,R$ 1.801,R$ 34.263
2011-03-21,Grupo 3,Parceiro A,80,R$ 6.443,R$ 2.928,R$ 58.570
2011-03-22,Grupo 3,Parceiro A,91,R$ 4.911,R$ 2.232,R$ 44.645
2011-03-23,Grupo 3,Parceiro A,87,R$ 6.121,R$ 2.782,R$ 55.650
2011-03-24,Grupo 3,Parceiro A,99,R$ 6.172,R$ 2.805,R$ 56.110
2011-03-25,Grupo 3,Parceiro A,63,R$ 4.289,R$ 1.950,R$ 38.991
2011-03-26,Grupo 3,Parceiro A,69,R$ 4.351,R$ 1.978,R$ 39.552
2011-03-27,Grupo 3,Parceiro A,51,R$ 3.398,R$ 1.545,R$ 30.893
2011-03-28,Grupo 3,Parceiro A,49,R$ 3.088,R$ 1.404,R$ 28.075
2011-03-29,Grupo 3,Parceiro A,72,R$ 3.769,R$ 1.713,R$ 34.267
2011-03-30,Grupo 3,Parceiro A,70,R$ 4.639,R$ 2.109,R$ 42.171
2011-03-31,Grupo 3,Parceiro A,88,R$ 5.812,R$ 2.642,R$ 52.836
2011-04-01,Grupo 3,Parceiro A,74,R$ 5.566,R$ 2.530,R$ 50.600
2011-04-02,Grupo 3,Parceiro A,61,R$ 3.860,R$ 1.754,R$ 35.087
