Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-08-04,Grupo 1,Parceiro C,122,R$ 2.661,R$ 1.901,R$ 38.019
2011-08-05,Grupo 1,Parceiro C,101,R$ 3.061,R$ 2.186,R$ 43.728
2011-08-06,Grupo 1,Parceiro C,75,R$ 2.236,R$ 1.597,R$ 31.936
2011-08-07,Grupo 1,Parceiro C,77,R$ 2.448,R$ 1.749,R$ 34.970
2011-08-08,Grupo 1,Parceiro C,115,R$ 3.610,R$ 2.578,R$ 51.567
2011-08-09,Grupo 1,Parceiro C,131,R$ 3.642,R$ 2.601,R$ 52.023
2011-08-10,Grupo 1,Parceiro C,128,R$ 3.411,R$ 2.437,R$ 48.733
2011-08-11,Grupo 1,Parceiro C,140,R$ 3.795,R$ 2.711,R$ 54.219
2011-08-12,Grupo 1,Parceiro C,138,R$ 4.029,R$ 2.878,R$ 57.551
2011-08-13,Grupo 1,Parceiro C,76,R$ 1.827,R$ 1.305,R$ 26.098
2011-08-14,Grupo 1,Parceiro C,62,R$ 1.740,R$ 1.243,R$ 24.857
2011-07-01,Grupo 2,Parceiro C,141,R$ 3.783,R$ 3.783,R$ 54.036
2011-07-02,Grupo 2,Parceiro C,88,R$ 2.130,R$ 2.130,R$ 30.425
2011-07-03,Grupo 2,Parceiro C,60,R$ 1.459,R$ 1.459,R$ 20.846
2011-07-04,Grupo 2,Parceiro C,105,R$ 2.592,R$ 2.592,R$ 37.023
2011-07-05,Grupo 2,Parceiro C,121,R$ 2.753,R$ 2.753,R$ 39.329
2011-07-06,Grupo 2,Parceiro C,107,R$ 3.067,R$ 3.067,R$ 43.814
2011-07-07,Grupo 2,Parceiro C,144,R$ 3.163,R$ 3.163,R$ 45.182
2011-07-08,Grupo 2,Parceiro C,118,R$ 3.192,R$ 3.192,R$ 45.604
2011-07-09,Grupo 2,Parceiro C,79,R$ 1.855,R$ 1.855,R$ 26.500
2011-07-10,Grupo 2,Parceiro C,74,R$ 2.287,R$ 2.287,R$ 32.674
2011-07-11,Grupo 2,Parceiro C,123,R$ 3.528,R$ 3.528,R$ 50.395
2011-07-12,Grupo 2,Parceiro C,139,R$ 4.090,R$ 4.090,R$ 58.431
2011-07-13,Grupo 2,Parceiro C,117,R$ 2.497,R$ 2.497,R$ 35.673
2011-07-14,Grupo 2,Parceiro C,120,R$ 3.516,R$ 3.516,R$ 50.223
2011-07-15,Grupo 2,Parceiro C,146,R$ 4.588,R$ 4.588,R$ 65.543
2011-07-16,Grupo 2,Parceiro C,79,R$ 2.309,R$ 2.309,R$ 32.992
2011-07-17,Grupo 2,Parceiro C,79,R$ 2.188,R$ 2.188,R$ 31.260
2011-07-18,Grupo 2,Parceiro C,102,R$ 2.409,R$ 2.409,R$ 34.410
2011-07-19,Grupo 2,Parceiro C,114,R$ 2.461,R$ 2.461,R$ 35.159
2011-07-20,Grupo 2,Parceiro C,114,R$ 3.250,R$ 3.250,R$ 46.424
2011-07-21,Grupo 2,Parceiro C,124,R$ 2.856,R$ 2.856,R$ 40.807
2011-07-22,Grupo 2,Parceiro C,122,R$ 2.762,R$ 2.762,R$ 39.455
2011-07-23,Grupo 2,Parceiro C,88,R$ 1.898,R$ 1.898,R$ 27.113
2011-07-24,Grupo 2,Parceiro C,73,R$ 1.992,R$ 1.992,R$ 28.454
2011-07-25,Grupo 2,Parceiro C,90,R$ 2.531,R$ 2.531,R$ 36.153
2011-07-26,Grupo 2,Parceiro C,97,R$ 2.541,R$ 2.541,R$ 36.295
2011-07-27,Grupo 2,Parceiro C,96,R$ 2.430,R$ 2.430,R$ 34.716
2011-07-28,Grupo 2,Parceiro C,111,R$ 2.748,R$ 2.748,R$ 39.259
2011-07-29,Grupo 2,Parceiro C,141,R$ 3.569,R$ 3.569,R$ 50.989
2011-07-30,Grupo 2,Parceiro C,93,R$ 2.802,R$ 2.802,R$ 40.032
2011-07-31,Grupo 2,Parceiro C,67,R$ 1.484,R$ 1.484,R$ 21.202
2011-08-01,Grupo 2,Parceiro C,90,R$ 2.432,R$ 2.432,R$ 34.739
2011-08-02,Grupo 2,Parceiro C,148,R$ 3.701,R$ 3.701,R$ 52.865
2011-08-03,Grupo 2,Parceiro C,134,R$ 3.965,R$ 3.965,R$ 56.648
2011-08-04,Grupo 2,Parceiro C,140,R$ 4.103,R$ 4.103,R$ 58.610
2011-08-05,Grupo 2,Parceiro C,152,R$ 3.557,R$ 3.557,R$ 50.814
2011-08-06,Grupo 2,Parceiro C,63,R$ 1.443,R$ 1.443,R$ 20.611
2011-08-07,Grupo 2,Parceiro C,62,R$ 1.761,R$ 1.761,R$ 25.157
2011-08-08,Grupo 2,Parceiro C,122,R$ 2.879,R$ 2.879,R$ 41.130
2011-08-09,Grupo 2,Parceiro C,130,R$ 3.827,R$ 3.827,R$ 54.674
2011-08-10,Grupo 2,Parceiro C,41,R$ 1.137,R$ 1.137,R$ 16.248
2011-08-11,Grupo 2,Parceiro C,58,R$ 1.305,R$ 1.305,R$ 18.642
2011-08-12,Grupo 2,Parceiro C,57,R$ 1.798,R$ 1.798,R$ 25.686
2011-08-13,Grupo 2,Parceiro C,26,R$ 560,R$ 560,R$ 8.005
2011-08-14,Grupo 2,Parceiro C,27,R$ 769,R$ 769,R$ 10.988
